pl_name,pl_masse,ra,dec
"Kepler-410 A b",,283.1510448,45.1400838
"TrES-4 b",267.93069,268.3043361,37.2117397
"WASP-10 b",1071.08710,348.9930457,31.4627508
"KIC 10001893 c",,287.3892308,46.9844491
"Kepler-110 b",,292.9291693,48.6028303
"Kepler-82 c",,292.8733696,42.9661583
"Kepler-827 b",,294.9660027,42.7085608
"Kepler-309 b",,297.5098911,46.9614121
"Kepler-480 b",,294.4639165,49.7650473
"Kepler-695 b",,299.3160934,40.8223815
"Kepler-955 b",,288.4714969,40.2698157
"Kepler-194 c",,291.9714290,47.8640498
"HATS-33 b",,294.6336944,-55.3302692
"Kepler-31 b",,294.0230229,45.8530535
"K2-16 b",,175.0972238,4.5574311
"Kepler-85 c",,290.9734395,45.2902761
"K2-174 b",,60.7929729,16.3471660
"WASP-32 b",1144.14000,3.9617073,1.2005122
"Kepler-226 d",,292.3760942,47.8809596
"Kepler-1342 b",,297.0200549,43.4325382
"Kepler-1100 b",,291.8713535,44.0873907
"K2-156 b",,182.6996730,-6.2943552
"WASP-3 b",645.19490,278.6317411,35.6614312
"Qatar-4 b",,4.8592750,44.0275965
"Kepler-1427 b",,295.3496546,45.1145372
"Kepler-1432 b",,295.5241011,49.8295211
"Kepler-1489 b",,281.2957984,44.4654063
"Kepler-1063 b",,290.5267975,38.1428283
"Kepler-1198 b",,288.8339659,44.8381980
"Kepler-1614 b",,284.8713893,49.7758867
"WASP-41 b",298.76020,190.6188034,-30.6398176
"K2-121 b",,126.9366624,17.5793267
"Kepler-1395 b",,292.3374945,47.6641732
"Kepler-1464 b",,287.2356828,38.7540824
"WASP-47 b",341.00000,331.2030920,-12.0190670
"Kepler-119 c",,295.9463854,42.6588324
"Kepler-1454 b",,284.2233265,48.8317229
"Kepler-1124 b",,286.5942529,37.8912836
"Kepler-539 b",,299.1224639,41.8667953
"Kepler-1073 c",,294.1527259,38.2330886
"Kepler-424 b",,298.6249797,48.5774500
"CoRoT-27 b",3302.11000,278.4958319,5.5383811
"Kepler-1379 b",,293.6704404,41.4102105
"Kepler-1529 b",,289.8707469,41.0407482
"Kepler-1397 b",,299.6758812,47.0758234
"Kepler-950 b",,287.9565768,41.1302834
"HAT-P-8 b",414.45032,343.0414932,35.4471778
"K2-77 b",,55.2285210,12.5724480
"WASP-74 b",228.83760,304.5388430,-1.0760033
"HAT-P-6 b",351.83781,354.7740917,42.4659866
"Kepler-1630 b",,297.5083004,43.7110543
"HD 33283 b",,77.0044889,-26.7976689
"K2-326 b",,351.6122620,1.3375909
"Kepler-780 b",,281.7663511,44.2924898
"HD 66141 b",,120.5662825,2.3350265
"Kepler-1274 b",,284.5936858,46.4497364
"Kepler-204 b",,285.3471620,41.7618450
"Kepler-221 c",,296.6547477,46.8352242
"KIC 7917485 b",,299.4346094,43.6326069
"Kepler-866 b",,290.1222112,43.0854070
"WASP-73 b",597.20257,319.9496969,-58.1489328
"Kepler-56 d",,293.7583002,41.8718070
"Kepler-861 b",,292.3539624,46.2262465
"Kepler-1319 b",,290.9564463,49.3667933
"Kepler-44 b",311.79123,300.1023512,45.7621918
"HAT-P-2 b",2777.83420,245.1514324,41.0479601
"WASP-26 b",270.15550,4.6030424,-15.2674044
"Kepler-270 b",,282.2001207,44.4222795
"Kepler-477 b",,288.0674450,42.3553050
"Kepler-1086 c",,295.2511870,45.8429537
"Kepler-36 c",8.08000,291.2501859,49.2318073
"Kepler-40 b",657.90810,296.8136883,47.5265446
"K2-105 b",,125.4202985,13.4975122
"HAT-P-3 b",,206.0940142,48.0285650
"Kepler-360 c",,286.2847077,44.7815817
"Kepler-1617 b",,287.9371747,46.4184781
"HAT-P-21 b",1261.78510,171.2749348,41.0280207
"Kepler-983 b",,285.1042243,45.0080745
"Kepler-903 c",,288.7710137,40.6641771
"Kepler-390 b",,291.6288086,41.2088351
"XO-1 b",290.17879,240.5492745,28.1696248
"Kepler-755 b",,296.8609348,41.0973178
"HD 108236 e",,186.5740627,-51.3630519
"Kepler-1590 b",,291.4079141,48.0178915
"Kepler-240 c",,291.1587635,40.7502108
"Kepler-107 d",3.80000,297.0281620,48.2086019
"Kepler-1418 b",,282.9975322,41.6785900
"Kepler-325 b",,289.8354219,49.8256070
"TrES-3 b",513.29545,268.0291106,37.5463268
"WASP-52 b",146.20180,348.4947931,8.7610793
"Kepler-82 b",12.15000,292.8733696,42.9661583
"Kepler-176 d",,294.6679021,43.8532104
"HD 200964 b",,316.6664183,3.8033357
"Kepler-1383 b",,297.9447714,42.1918449
"BD+15 2375 b",,176.4820239,14.6163182
"Kepler-46 c",119.49900,289.2687388,42.6041819
"Kepler-7 b",140.16303,288.5814928,41.0897335
"Kepler-215 b",,294.9735313,45.2136867
"CoRoT-27 b",3273.64900,278.4958319,5.5383811
"Kepler-49 b",311.46000,292.2945208,40.5918123
"Kepler-62 e",,283.2125621,45.3496992
"Kepler-762 b",,291.2756631,47.3295107
"Kepler-251 b",,296.5662171,44.1058077
"Kepler-991 b",,297.0905543,49.6264867
"Kepler-409 b",22.00000,293.6792058,46.8527337
"Kepler-51 b",2.10000,296.4797624,49.9376486
"Kepler-43 b",994.77000,285.2408288,46.6682411
"WASP-117 b",95.34900,36.7758112,-50.2844247
"Kepler-465 b",,284.5557853,46.0638865
"OGLE-TR-56 b",441.77000,269.1479583,-29.5392222
"HAT-P-2 b",2873.18320,245.1514324,41.0479601
"Kepler-138 b",0.18700,290.3814122,43.2930645
"WASP-36 b",729.41985,131.5803897,-8.0269855
"Kepler-50 c",,288.1009312,50.0336844
"K2-180 b",,126.4643579,10.2465770
"Kepler-1656 b",,284.4722473,39.9118890
"Kepler-1641 b",,296.3594560,41.5745321
"Kepler-1136 b",,284.1078441,44.2458047
"Kepler-65 c",26.60000,288.6887221,41.1511076
"Kepler-282 b",,284.6772402,44.7976401
"TOI-776 c",5.30000,178.5779970,-37.5533568
"Kepler-1404 b",,296.0094827,50.4983929
"HR 8799 c",,346.8701486,21.1340376
"Kepler-1634 b",,294.0433990,45.1398201
"Kepler-1636 b",,294.0575681,46.4409844
"Kepler-295 b",,285.3458383,45.3677754
"OGLE-2017-BLG-1434L b",4.50000,268.2803650,-30.2457218
"Kepler-11 d",6.70000,297.1150949,41.9091092
"Kepler-396 b",75.50000,296.1328135,48.9773095
"CoRoT-20 b",1366.66900,97.7204249,0.2268931
"OGLE-2018-BLG-0596L b",1.30000,269.0555417,-29.1990833
"Kepler-1574 b",,292.1586689,49.6377914
"Kepler-105 c",3.60000,287.8872376,46.2761224
"K2-272 b",,132.6211743,17.5423852
"K2-256 b",,186.2270991,-2.0660477
"OGLE-2018-BLG-1428L b",240.00000,265.5487080,-26.1378889
"OGLE-2018-BLG-0677L b",3.96000,268.7511250,-32.0165306
"Kepler-81 b",17.20000,293.6369437,42.8248275
"Kepler-223 e",4.80000,298.3183909,47.2794824
"OGLE-2013-BLG-0911L b",3150.00000,268.8832500,-29.2538333
"Kepler-79 d",11.30000,300.5171067,44.3815508
"Kepler-415 b",119.90000,293.8045041,38.6390517
"Kepler-338 b",30.60000,282.9790593,40.7844188
"OGLE-2012-BLG-0950L b",41.00000,272.0192570,-29.7315826
"KOI-13 b",2637.88000,286.9713876,46.8682463
"OGLE-2005-BLG-390L b",5.50000,268.5799580,-30.3773056
"MOA-2011-BLG-291L b",16.00000,268.8678890,-29.1706657
"TOI-1231 b",,156.7472600,-52.4678724
"Kepler-351 b",4.80000,286.4527949,42.6577891
"Kepler-33 e",5.57000,289.0775348,46.0051696
"Kepler-9 b",2175.00000,285.5739904,38.4008192
"Kepler-79 e",3.40000,300.5171067,44.3815508
"MOA-bin-29 b",150.00000,269.3759583,-29.7365639
"OGLE-2016-BLG-0613L AB b",1400.00000,269.2604060,-28.1161671
"Kepler-170 b",82.60000,284.5211975,41.6296562
"MOA-2010-BLG-353L b",86.00000,271.3039170,-27.2932333
"Kepler-33 d",11.70000,289.0775348,46.0051696
"Kepler-323 c",79.70000,291.3822988,38.1274595
"Kepler-161 c",11.80000,290.5164698,43.0838642
"Kepler-238 f",13.50000,287.8971066,40.6378141
"OGLE-2012-BLG-0724L b",150.00000,268.9682920,-29.8185278
"OGLE-2012-BLG-0950L b",31.00000,272.0192570,-29.7315826
"KMT-2018-BLG-1990L b",103.00000,268.4353750,-22.1525389
"Kepler-53 b",103.10000,290.4617926,40.5624966
"KMT-2016-BLG-1836L b",730.00000,268.2503330,-30.0407500
"KMT-2018-BLG-1292L b",1400.00000,263.4275830,-33.5206694
"OGLE-2011-BLG-0173L b",,269.3157350,-28.2338619
"KMT-2018-BLG-0029L b",7.59000,264.4694580,-27.9847000
"KMT-2017-BLG-1146L b",230.00000,269.1058330,-33.1424694
"Kepler-184 c",8.80000,291.9518784,43.0746172
"Kepler-350 d",14.80000,285.4195845,39.7061009
"bet Pic b",,86.8212337,-51.0661480
"Kepler-272 c",97.80000,299.1275257,47.5938319
"Kepler-189 c",22.70000,287.5646296,44.3050662
"GJ 876 c",266.20000,343.3239737,-14.2665958
"XO-1 b",286.04700,240.5492745,28.1696248
"Kepler-65 c",5.40000,288.6887221,41.1511076
"KMT-2017-BLG-0165L b",34.00000,269.6496667,-28.1336694
"KOI-1783.02",15.00000,289.3414629,46.9881550
"K2-203 b",,12.7736909,-1.1958844
"Kepler-968 c",,285.6025889,50.1120401
"K2-155 d",,65.4696140,21.3532633
"K2-115 b",266.97720,126.5535002,12.2818510
"Kepler-1448 b",,287.8674123,50.5955846
"Kepler-1103 b",,287.3821348,49.4524247
"HIP 8541 b",,27.5271962,-54.4651633
"HD 204941 b",,323.0966714,-20.9579570
"HD 23596 b",,57.0018601,40.5307308
"HD 210193 b",,332.3951324,-41.2252050
"HD 10180 g",,24.4731133,-60.5114881
"HD 148164 c",,246.4351678,11.9190729
"HIP 14810 d",,47.8092750,21.0971302
"GJ 328 b",,133.7819507,1.5420011
"HD 42618 b",,93.0032173,6.7819742
"HD 20794 d",,49.9997666,-43.0666533
"HD 7199 b",,17.6979344,-66.1886947
"HD 136352 c",11.29000,230.4401147,-48.3188174
"K2-260 b",451.31860,76.8673317,16.8676948
"DP Leo b",,169.3162193,17.9615717
"81 Cet b",,39.4243555,-3.3963607
"GJ 2056 b",,108.0194945,-24.8921008
"gam Lib c",,233.8818636,-14.7895020
"HD 165155 b",,271.4893395,-29.9172536
"HD 87646 b",,151.6695435,17.8949795
"HD 238090 b",,183.0886375,54.4861530
"HD 154857 c",,257.8161940,-56.6810380
"HD 134060 c",,227.6847587,-61.4223747
"HD 8535 b",,20.9054804,-41.2701007
"TYC 3667-1280-1 b",,12.8875757,58.4261485
"HD 4203 b",,11.1722288,20.4483925
"HIP 38594 c",,118.5439118,-25.3023073
"psi 1 Dra B b",,265.4925754,72.1557114
"BD+20 2457 c",,154.1867820,19.8912626
"HD 147513 b",,246.0057894,-39.1929661
"HD 99706 c",,172.1261621,43.9662025
"HD 156279 c",,258.0966686,63.3527828
"GJ 832 c",,323.3912616,-49.0125169
"HD 220197 b",,350.4946927,16.6323305
"HD 27894 d",,65.1975693,-59.4096776
"HAT-P-29 b",243.77561,33.1310921,51.7787754
"HD 180053 b",,288.4008374,34.9146658
"GJ 3512 b",,130.3316616,59.4918364
"WASP-45 b",306.38812,5.2377567,-35.9984650
"K2-329 b",82.63580,351.1353785,-5.1641451
"KELT-16 b",874.03250,314.2685227,31.6610186
"TOI-763 b",9.79000,194.4680980,-39.7580613
"Pr0211 c",,130.5477440,19.2769570
"HD 89345 b",34.96130,154.6710977,10.1288464
"BD-11 4672 c",,278.3688659,-11.6370481
"Kepler-14 b",,287.7088140,47.3330500
"Kepler-434 b",908.96000,293.5863887,42.9288624
"K2-185 b",,130.2596625,14.6902225
"K2-34 b",559.38080,127.5787231,22.2359194
"K2-154 b",,189.0015173,-2.6696217
"WASP-68 b",301.93000,305.0957239,-19.3147271
"Kepler-876 b",,283.4781717,43.3837235
"K2-233 d",,230.4799011,-20.2317975
"K2-32 b",15.00000,252.4260080,-19.5430504
"HAT-P-17 b",,324.5359781,30.4881882
"WASP-69 b",82.63580,315.0259661,-5.0948570
"WASP-180 A b",286.04700,123.3922465,-1.9827874
"WASP-66 b",737.36560,158.2250301,-34.9899074
"CoRoT-2 b",1102.82000,291.7770457,1.3836634
"HD 80606 b",1252.20000,140.6569501,50.6037764
