pl_name,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,sy_dist
"Kepler-462 b",1,2,0,7.37348,78.82865,84.68895000,4.700,596.6250000
"Kepler-192 b",1,3,0,15.71410,76.53877,9.92673300,2.290,651.6740000
"Kepler-615 b",1,1,0,19.52171,75.81741,10.35574200,2.080,
"Kepler-376 c",1,2,0,10.20893,71.03282,14.17220432,1.720,923.0670000
"Kepler-1203 b",1,1,0,11.99808,76.69173,0.58800076,0.960,317.0220000
"Kepler-430 c",1,2,0,14.32619,81.69761,110.97378000,1.480,917.4770000
"Kepler-1247 b",1,1,0,11.98841,79.48787,13.71220213,2.400,1045.9200000
"Kepler-1243 b",1,1,0,10.61295,75.92365,16.83207290,1.640,758.1700000
"Kepler-105 c",1,2,0,15.99895,77.18475,7.12594591,1.880,459.2230000
"HD 18742 b",1,1,0,-60.00474,207.80483,766.00000000,,162.6850000
"Kepler-252 b",1,2,0,10.38166,77.95933,6.66839100,1.230,379.4240000
"Kepler-273 b",1,2,0,14.43623,79.50293,2.93653200,1.500,713.9640000
"Kepler-127 b",1,3,0,17.64003,76.21619,14.43593100,1.410,352.7940000
"Kepler-132 d",2,4,0,17.26662,71.10178,18.01017554,1.410,349.5490000
"Kepler-1321 c",1,2,0,12.00174,79.50690,2.22649109,3.260,769.1460000
"Kepler-1351 b",1,1,0,10.56275,75.16841,0.91614077,0.600,202.7820000
"Kepler-446 b",1,3,0,19.18908,74.36798,1.56541285,2.610,96.3390000
"Kepler-1370 c",1,2,0,16.50143,71.90739,7.44142113,1.200,1004.1000000
"Kepler-107 b",1,4,0,11.23255,81.72606,3.18002464,1.550,525.9970000
"Kepler-229 b",1,3,0,17.34816,78.97779,6.25296225,,826.2650000
"Kepler-166 d",1,3,0,13.81924,81.14899,1.55400389,,603.5300000
"Kepler-782 b",1,1,0,15.95896,78.87676,158.68533080,3.730,446.8440000
"Kepler-113 b",1,2,0,17.68980,81.73182,4.75400115,1.900,262.3510000
"Kepler-795 b",2,1,0,10.68138,70.94724,29.61934210,1.760,492.1220000
"Kepler-11 c",1,6,0,8.13328,76.16130,13.02492819,2.940,646.3460000
"Kepler-800 b",1,1,0,16.28111,75.39413,14.13176026,2.910,1019.2600000
"Kepler-810 b",1,1,0,11.41579,81.47969,4.59725385,1.740,1458.5900000
"Kepler-1445 b",1,1,0,20.20993,72.86159,10.60052251,0.870,506.3570000
"Kepler-1474 b",1,1,0,11.54709,78.85639,36.43334520,2.440,1180.9000000
"Kepler-1502 b",1,1,0,7.53576,73.50378,41.70836290,2.110,1514.0200000
"Kepler-450 d",1,3,0,13.41670,83.79725,7.51447040,0.890,455.9820000
"Kepler-1298 b",1,1,0,19.19561,79.06848,7.12811928,1.040,544.1630000
"Kepler-395 b",1,2,0,11.95556,77.80798,7.05427318,0.780,421.3820000
"Kepler-597 b",1,1,0,9.30100,72.46469,13.02363236,,663.4180000
"Kepler-603 d",1,3,0,10.16352,75.48527,6.21716039,,1539.6300000
"Kepler-830 b",1,1,0,9.87661,76.17365,11.29695137,1.570,
"Kepler-842 b",1,1,0,14.63931,81.63101,1.21956827,1.580,532.7260000
"Kepler-852 b",1,1,0,11.18828,82.15889,44.93098040,2.780,1619.0300000
"Kepler-628 b",1,1,0,11.65248,71.94904,15.45807100,9.600,897.9010000
"Kepler-220 c",1,4,0,13.97444,78.81162,9.03419547,1.630,171.1090000
"Kepler-528 b",1,1,0,11.81075,80.88058,19.78297415,1.820,784.2300000
"Kepler-1217 b",1,1,0,16.99240,82.01835,2.03231907,,1347.7100000
"Kepler-1302 b",1,1,0,15.69368,81.88152,8.83929462,,634.5800000
"Kepler-221 d",1,4,0,10.80167,80.37293,10.04155500,2.810,385.2310000
"Kepler-242 b",1,2,0,15.13516,72.52885,8.20396958,3.010,600.2410000
"Kepler-1364 b",1,1,0,12.96444,82.39110,13.32196237,1.940,1056.9000000
"Kepler-267 d",1,3,0,9.07311,81.73773,28.46464804,,264.9930000
