pl_name,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,glat,glon,pl_orbper,pl_rade,sy_dist,pl_eqt,pl_orbeccen
"HD 221420 b","Radial Velocity",2019,"Anglo-Australian Telescope",1,1,-38.91481,308.31538,22482.00000000,12.500,31.1415000,,0.420000
"HD 72490 b","Transit",2018,"W. M. Keck Observatory",1,1,28.67982,211.79644,858.00000000,13.500,126.3390000,,0.124000
"HD 60532 c","Radial Velocity",2008,"La Silla Observatory",1,2,-1.18976,237.49768,600.10000000,13.300,25.9716000,,0.030000
"HD 66428 b","Radial Velocity",2005,"W. M. Keck Observatory",1,1,15.41735,222.42686,2263.12000000,13.100,53.2817000,,0.493000
"2MASS J21402931+1625183 A b","Imaging",2009,"W. M. Keck Observatory",1,1,-26.43736,70.48456,7336.50000000,10.310,33.1156898,2.07500000000e+03,0.260000
"18 Del b","Radial Velocity",2008,"Okayama Astrophysical Observatory",2,1,-21.97480,58.69121,993.30000000,12.500,76.2220000,,0.080000
"Kepler-986 b","Transit",2016,"Kepler",1,1,11.21739,75.62729,56.43499380,2.360,548.3640000,4.65000000000e+02,0.000000
"MOA-bin-1L b","Microlensing",2012,"MOA",1,1,2.92661,357.11306,,13.000,5100.0000000,,
"WASP-1 b","Transit",2007,"SuperWASP",2,1,-30.42933,115.36606,2.51994540,16.623,393.0720000,1.81200000000e+03,0.000000
"WASP-95 b","Transit",2014,"SuperWASP",1,1,-55.51383,346.13354,2.18467000,13.787,137.5440000,1.57000000000e+03,0.000000
"gam Lib c","Radial Velocity",2018,"Okayama Astrophysical Observatory",1,2,32.19557,351.51546,964.60000000,12.900,47.4017000,,0.057000
"TOI-150.01","Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",1,1,-23.16430,285.34053,5.85748700,14.067,336.2670000,1.40450000000e+03,0.262000
"HD 25015 b","Radial Velocity",2019,"La Silla Observatory",1,1,-47.04317,214.13004,6019.32000000,12.900,37.4330000,,0.390000
"GJ 676 A b","Radial Velocity",2010,"La Silla Observatory",2,4,-9.54226,339.10272,1056.80005000,12.700,16.0272000,,0.330000
"alf Ari b","Radial Velocity",2010,"Bohyunsan Optical Astronomical Observatory",1,1,-36.20556,144.57834,380.80000000,13.400,20.2101900,,0.250000
"Kepler-995 b","Transit",2016,"Kepler",1,1,15.46273,69.37390,28.26731672,2.700,609.6380000,5.17000000000e+02,0.000000
"Kepler-340 c","Transit",2014,"Kepler",1,2,8.12813,74.30416,22.82466900,3.370,808.7620000,9.46000000000e+02,0.000000
"Kepler-416 c","Transit Timing Variations",2014,"Kepler",1,2,10.60929,71.75799,12.20900000,2.450,690.8190000,7.91000000000e+02,0.000000
"Kepler-633 b","Transit",2016,"Kepler",1,1,8.74621,74.29882,8.50340718,1.630,680.5400000,1.02100000000e+03,0.000000
"Kepler-575 b","Transit",2016,"Kepler",1,1,13.25875,68.89582,9.37891944,2.390,853.9770000,8.03000000000e+02,0.000000
"Kepler-320 b","Transit",2014,"Kepler",1,2,12.60394,78.66510,8.37155400,1.140,826.6130000,1.29200000000e+03,0.000000
"Kepler-406 c","Transit",2014,"Kepler",1,2,12.93656,77.12390,4.62332000,0.850,364.0300000,1.05000000000e+03,0.000000
"HD 171028 b","Radial Velocity",2007,"La Silla Observatory",1,1,7.41135,36.96748,550.00000000,13.200,111.6590000,,0.590000
"GJ 179 b","Radial Velocity",2009,"W. M. Keck Observatory",1,1,-22.86269,192.22740,2288.00000000,13.900,12.3560000,,0.210000
"GJ 3942 b","Radial Velocity",2017,"Roque de los Muchachos Observatory",1,1,45.46907,82.20459,6.90500000,2.570,16.9287000,5.90000000000e+02,0.121000
"KIC 10001893 d","Orbital Brightness Modulation",2014,"Kepler",1,3,16.58578,77.73040,0.81161000,,1672.9400000,,
"OGLE-2013-BLG-0102L b","Microlensing",2014,"OGLE",1,1,-2.62011,358.36000,,12.300,3040.0000000,,
"ups And d","Radial Velocity",1999,"Multiple Observatories",2,3,-20.66791,132.00045,1276.46000000,13.000,13.4054000,,0.298700
"Kepler-376 b","Transit",2014,"Kepler",1,2,10.20893,71.03282,4.92019900,1.070,923.0670000,1.24200000000e+03,0.000000
"Kepler-369 b","Transit",2014,"Kepler",1,2,13.08730,80.40251,2.73275600,1.130,214.0000000,6.87000000000e+02,0.000000
"Kepler-391 b","Transit",2014,"Kepler",1,2,16.20638,82.49921,7.41675500,3.200,869.2360000,1.42500000000e+03,0.000000
"CoRoT-22 b","Transit",2014,"CoRoT",1,1,4.77500,37.48307,9.75598000,4.880,627.1580000,8.85000000000e+02,0.077000
"K2-139 b","Transit",2017,"K2",1,1,-13.40289,19.45003,28.38061900,9.110,153.8560000,5.24000000000e+02,0.120000
"Kepler-1561 b","Transit",2016,"Kepler",1,1,9.06503,77.55482,1.00520701,1.090,839.0760000,1.68200000000e+03,0.000000
"K2-268 c","Transit",2018,"K2",1,2,32.70262,216.07310,9.32684100,2.690,327.7830000,6.88000000000e+02,
"1RXS J160929.1-210524 b","Imaging",2008,"Gemini Observatory",1,1,22.03031,352.89050,,18.647,139.1350000,1.70000000000e+03,
"HAT-P-50 b","Transit",2015,"HATNet",1,1,18.90950,208.67365,3.12201090,14.437,515.4580000,1.86200000000e+03,0.115000
"Kepler-227 b","Transit",2014,"Kepler",1,2,14.23776,80.10231,9.48801500,3.110,1083.0600000,7.93000000000e+02,0.000000
"Kepler-520 b","Transit",2016,"Kepler",1,2,10.58195,74.49539,19.67416124,1.660,623.9010000,7.11000000000e+02,0.000000
"MOA-2010-BLG-477L b","Microlensing",2012,"MOA",1,1,-5.09503,0.04599,,13.600,2300.0000000,,
"TOI-157 b","Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",1,1,-32.93009,289.06331,2.08454350,14.415,355.6830000,1.58800000000e+03,0.000000
