pl_name,discoverymethod,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,disc_year
"HD 73267 b","Radial Velocity",1,1,0,3.79235,255.08557,1245.36000000,13.100,2008
"OGLE-2006-BLG-109L b","Microlensing",1,2,0,-1.89004,359.79137,1788.50000000,14.000,2008
"CoRoT-4 b","Transit",1,1,0,-0.89847,213.22759,9.20205000,13.340,2008
"WASP-14 b","Transit",3,1,0,66.33386,25.73857,2.24375000,15.468,2008
"XO-4 b","Transit",1,1,0,26.68924,158.63533,4.12508000,14.011,2008
"HD 16417 b","Radial Velocity",2,1,0,-66.23770,237.69566,17.24000000,5.000,2008
"HD 181433 c","Radial Velocity",1,3,0,-28.04356,329.51487,962.00000000,14.100,2008
"HD 285968 b","Radial Velocity",1,1,0,-17.42723,180.02116,8.78360000,2.830,2008
"HAT-P-11 b","Transit",1,2,0,10.77239,81.83486,4.88780244,4.360,2008
"HAT-P-9 b","Transit",1,1,0,21.44260,181.08665,3.92281072,15.614,2008
"6 Lyn b","Radial Velocity",1,1,0,20.18918,156.97286,934.30000000,13.400,2008
"CoRoT-3 b","Transit",1,1,0,-8.12065,37.26302,4.25680000,11.320,2008
"WASP-7 b","Transit",1,1,0,-37.87718,2.82200,4.95464160,14.908,2008
"HD 47186 c","Radial Velocity",1,2,0,-15.30712,236.50396,1353.60000000,13.000,2008
"MOA-2007-BLG-192L b","Microlensing",1,1,0,-3.38766,4.03089,,1.630,2008
"OGLE-2006-BLG-109L c","Microlensing",1,2,0,-1.89004,359.79137,4927.50000000,11.100,2008
"WASP-10 b","Transit",1,1,0,-27.14412,100.11200,3.09276160,12.106,2008
"bet Pic b","Imaging",1,2,0,-30.61167,258.36341,7665.00000000,18.495,2008
"WASP-5 b","Transit",1,1,0,-72.01819,337.59323,1.62842790,12.184,2008
"HD 7924 b","Radial Velocity",1,3,0,13.94549,124.73557,5.39792000,2.400,2008
"HD 154672 b","Radial Velocity",1,1,0,-9.75953,333.38496,163.94000000,12.800,2008
"HD 153950 b","Radial Velocity",1,1,0,-1.23190,343.47641,499.39999000,13.200,2008
"HD 11964 c","Radial Velocity",2,2,0,-67.09225,168.57627,37.91000000,5.380,2008
"81 Cet b","Radial Velocity",1,1,0,-55.24995,174.48697,952.70000000,12.800,2008
"HAT-P-7 b","Transit",2,1,0,13.97537,80.03294,2.20474000,16.926,2008
"HAT-P-8 b","Transit",3,1,0,-21.38256,97.14496,3.07634000,15.693,2008
"HR 8799 b","Imaging",1,4,0,-35.57552,92.76460,170000.00000000,13.000,2008
"HR 8799 d","Imaging",1,4,0,-35.57552,92.76460,37000.00000000,13.000,2008
"HD 47186 b","Radial Velocity",1,2,0,-15.30712,236.50396,4.08450000,5.020,2008
"HD 60532 b","Radial Velocity",1,2,0,-1.18976,237.49768,201.90000000,13.800,2008
